Depth	Azimuth	Dip	Aperture	Type
m	deg	deg	mm	 NaN
7.17	155.96	20.86	18.56	Quartz
7.37	334.09	87.50	0.58	Fracture
7.50	262.10	81.58	1.04	Fracture
7.95	167.87	22.68	6.37	Quartz
8.95	187.34	71.73	0.45	Fracture
9.21	138.84	75.02	1.74	Fracture
9.42	31.19	25.27	43.39	Quartz
9.43	99.37	32.59	14.41	Quartz
10.20	46.21	29.35	0.00	Fracture
14.27	148.82	83.93	0.00	Foliation
16.62	146.31	85.30	0.00	Fracture
16.67	149.42	82.27	0.00	Fracture
16.68	308.38	82.27	0.00	Fracture
16.76	145.30	68.52	5.37	Fracture
19.78	172.70	70.95	0.00	Fracture
22.42	153.01	87.29	898.15	S1 Shear-zone
22.53	159.86	70.26	9.10	Fracture
22.77	174.22	76.94	2.22	Fracture
24.32	177.95	66.60	4.65	Fracture
25.24	153.22	85.34	0.00	Foliation
25.96	9.16	27.07	6.71	Biotite Band
27.64	167.13	83.46	4.61	Fracture
27.78	179.27	81.59	4.66	Fracture
28.20	185.40	74.76	132.38	S3 Shear-zone
28.32	169.34	57.93	15.71	Fracture
29.25	156.63	61.96	0.00	Fracture
29.27	162.80	49.20	0.00	Fracture
32.16	185.58	71.04	129.48	S3 Shear-zone
32.62	182.35	70.87	0.00	Fracture
32.64	167.22	63.53	0.00	Fracture
32.99	181.87	65.00	102.53	S3 Shear-zone
34.03	178.24	71.91	3.27	Quartz
34.92	168.58	67.50	385.90	S1 Shear-zone
34.92	168.33	79.41	4.78	Fracture
35.77	176.75	66.61	18.96	Quartz
38.69	165.43	81.68	0.00	Fracture
39.01	163.30	78.82	2.30	Fracture
39.11	176.16	68.35	1026.86	S1 Shear-zone
39.16	163.27	63.13	0.00	Fracture
39.20	162.58	74.20	0.00	Fracture
39.72	179.02	78.58	1.96	Fracture
42.11	175.09	74.84	3.36	Fracture
42.26	157.05	76.86	5.89	Fracture
43.20	159.07	88.79	818.47	S1 Shear-zone
43.20	162.51	83.13	0.00	Fracture
43.57	191.60	32.78	0.00	Fracture
43.81	210.50	32.78	0.00	Fracture
43.93	223.39	24.32	5.01	Fracture
44.03	199.33	22.34	5.15	Quartz
44.13	193.32	24.97	0.00	Fracture
