Depth	Azimuth	Dip	Aperture	Type
m	deg	deg	mm	 NaN
3.95	152.12	80.47	0.00	Foliation
5.16	147.21	82.25	622.18	Minor ductile Shear-zone
6.18	146.15	88.47	0.00	Fracture
8.18	80.13	27.79	44.58	Quartz
8.31	244.19	86.67	0.00	Fracture
9.79	142.50	77.98	0.00	Foliation
13.02	355.76	88.89	0.00	Fracture
13.89	179.14	71.47	0.00	Fracture
16.82	148.94	77.85	0.00	Fracture
18.37	183.47	76.02	0.00	Fracture
19.09	148.41	86.76	0.00	Foliation
19.31	130.70	88.22	0.00	Fracture
20.38	178.77	82.69	415.13	S1 Shear-zone
20.53	348.29	28.86	0.00	Fracture
21.27	209.13	68.71	0.00	Fracture
22.84	148.23	78.86	0.00	Foliation
23.63	174.88	87.55	0.00	Fracture
23.71	176.66	79.33	160.75	S3 Shear-zone
23.85	174.84	79.04	0.00	Fracture
23.88	165.43	76.01	0.00	Fracture
23.93	170.62	73.76	0.00	Fracture
24.02	167.41	77.03	0.00	Fracture
25.32	58.34	66.98	0.00	Fracture
25.51	167.79	69.09	0.00	Fracture
26.62	169.82	75.44	0.00	Fracture
27.96	182.66	74.06	10.52	Fracture
28.03	181.46	68.31	0.00	Fracture
28.12	164.91	79.12	0.00	Fracture
28.67	39.27	36.49	0.00	Fracture
28.93	31.50	39.48	0.00	Fracture
29.21	179.78	73.72	0.00	Fracture
29.28	172.86	76.07	0.00	Fracture
29.31	174.71	78.67	138.99	S3 Shear-zone
29.42	188.32	66.25	0.00	Fracture
30.68	142.80	78.99	0.00	Fracture
32.12	141.31	82.64	11.07	Fracture
33.04	160.05	87.61	1282.34	S1 Shear-zone
33.06	150.86	74.15	21.66	Quartz
33.74	161.08	73.07	0.00	Fracture
34.79	165.45	83.89	0.00	Fracture
35.44	141.80	82.25	0.00	Fracture
35.82	173.42	83.61	0.00	Fracture
36.85	196.57	72.59	0.00	Fracture
39.34	188.70	70.16	0.00	Fracture
40.94	155.80	72.04	0.00	Fracture
41.29	156.24	79.54	0.00	Fracture
41.42	158.08	75.84	0.00	Fracture
41.50	169.32	68.41	0.00	Fracture
42.25	171.26	87.61	0.00	Fracture
42.88	344.03	84.22	0.00	Fracture
43.04	342.99	89.01	1082.66	S1 Shear-zone
43.38	332.06	81.84	0.00	Fracture
43.51	339.60	89.45	0.00	Fracture
43.57	343.24	89.77	0.00	Fracture
43.76	156.31	88.32	0.00	Fracture
43.81	161.80	77.90	0.00	Fracture
44.48	182.84	64.21	51.21	Quartz
44.84	130.89	21.04	37.45	Quartz
45.46	143.41	86.45	0.00	Fracture
46.09	317.32	86.27	0.00	Fracture
46.34	141.59	86.37	1884.28	S1 Shear-zone
46.61	177.46	52.79	0.00	Fracture
47.02	175.38	57.04	0.00	Fracture
47.29	220.12	46.07	0.00	Fracture
47.34	193.27	46.28	0.00	Fracture
47.36	256.80	28.12	0.00	Fracture
47.38	229.96	14.55	0.00	Fracture
