Depth	Azimuth	Dip	Aperture	Type
m	deg	deg	mm	 NaN
3.64	143.91	77.29	5.66	Fracture
4.29	153.64	69.41	6.00	Fracture
6.86	143.21	67.34	0.00	Foliation
10.64	146.59	76.56	13.09	Fracture
11.10	155.01	73.24	7.92	Fracture
12.74	321.18	61.82	84.81	Quartz
12.84	126.54	36.82	57.79	Quartz
13.71	156.85	76.22	6.21	Fracture
13.87	145.51	67.03	0.00	Foliation
14.14	158.49	65.38	6.43	Fracture
14.65	136.10	65.28	3.47	Fracture
16.21	147.11	77.04	13.09	Quartz
17.35	181.51	77.36	8.66	Fracture
17.74	180.54	69.17	19.11	Quartz
18.46	166.64	68.79	3.85	Quartz
18.67	188.09	70.58	12.15	Quartz
20.37	183.35	70.51	157.31	S3 Shear-zone
20.57	66.68	47.17	1.75	Fracture
20.86	158.21	76.17	6.13	Fracture
21.32	145.37	70.41	7.18	Fracture
21.36	63.57	77.84	1.86	Fracture
21.46	177.33	76.15	3.08	Fracture
21.53	132.26	71.49	4.58	Fracture
21.61	161.06	60.38	2.23	Fracture
21.71	147.26	80.90	5.72	Fracture
21.89	185.99	77.68	4.27	Fracture
21.92	73.46	77.15	3.37	Fracture
21.96	150.56	78.15	1.87	Fracture
22.22	156.44	79.67	5.43	Fracture
22.49	159.67	71.28	3.35	Fracture
22.65	158.10	67.78	2.47	Fracture
22.71	68.94	75.81	2.63	Fracture
22.85	158.85	82.00	5.39	Fracture
22.90	168.09	77.01	3.20	Quartz
22.99	177.42	79.26	0.00	Foliation
23.20	164.64	82.65	0.00	S3 Shear-zone
23.21	164.63	83.77	11.15	Fracture
23.31	156.54	83.43	47.60	S3 Shear-zone
23.34	36.87	85.07	0.00	Fracture
23.48	163.52	72.78	2.45	Fracture
23.69	161.37	73.30	8.35	S3 Shear-zone
23.71	173.08	74.57	0.00	Fracture
23.79	172.63	74.40	112.98	S3 Shear-zone
