Depth	Azimuth	Dip	Aperture	Type
m	deg	deg	mm	 NaN
3.85	150.82	72.16	0.80	Quartz
6.24	130.75	64.34	3.73	Quartz
8.02	83.56	34.92	4.47	Quartz
8.98	143.35	69.86	0.00	Foliation
9.10	131.27	75.34	1.07	Fracture
9.71	343.14	68.27	0.28	Fracture
9.72	160.64	89.47	106.73	Quartz
10.56	189.34	72.09	3.34	Fracture
10.97	137.18	82.10	0.00	Fracture
12.02	161.23	83.75	0.00	Fracture
12.55	141.12	85.21	0.00	Foliation
12.69	148.21	83.62	0.99	Fracture
13.14	53.36	21.02	6.14	Quartz
13.35	78.80	40.64	21.16	Quartz
13.52	73.66	30.34	24.61	Quartz
14.01	126.90	73.50	20.61	Quartz
14.06	148.33	82.17	2.72	Fracture
17.14	161.31	74.43	10.72	Quartz
20.07	165.68	82.33	1381.63	S1 Shear-zone
20.18	181.83	74.59	1.94	Fracture
20.29	181.80	76.41	112.05	S3 Shear-zone
20.37	180.15	77.99	1.56	Fracture
23.14	58.04	52.57	0.00	Fracture
23.53	140.34	68.19	6.36	Fracture
23.89	55.43	61.84	1.71	Fracture
24.96	171.81	77.22	104.05	S3 Shear-zone
25.02	186.96	76.78	0.00	Fracture
25.17	170.76	69.82	1.95	Quartz
25.53	170.89	65.85	5.73	Minor ductile Shear-zone
26.57	162.05	75.18	1.52	Fracture
26.60	177.44	72.88	1.05	Fracture
26.68	178.56	72.68	116.04	S3 Shear-zone
27.08	159.71	69.27	0.00	Fracture
27.56	155.03	73.20	1.21	Fracture
28.47	27.36	19.06	22.34	Quartz
28.92	183.42	78.22	18.50	Quartz
29.23	151.02	73.89	16.48	Quartz
29.37	147.70	82.39	3.81	Fracture
29.88	158.76	79.46	2.89	Fracture
29.89	140.46	85.40	0.00	Fracture
29.98	146.50	85.14	0.00	Fracture
30.99	159.42	82.73	1549.05	S1 Shear-zone
31.03	163.32	76.68	2.97	Fracture
31.07	150.72	80.59	4.69	Fracture
31.99	165.40	70.63	1.21	Fracture
32.30	169.42	77.71	25.62	Quartz
32.71	165.38	78.37	34.64	Quartz
33.92	143.72	75.90	1.94	Fracture
33.98	167.79	74.59	11.61	Quartz
34.35	141.69	81.59	755.82	S1 Shear-zone
35.36	168.72	72.72	0.00	Fracture
37.02	172.23	66.17	0.00	Fracture
38.68	168.96	70.83	3120.51	S1 Shear-zone
39.37	149.36	74.60	3.22	Fracture
40.09	152.95	79.78	1.85	Fracture
40.42	161.42	76.20	3.06	Fracture
41.11	167.41	70.14	6.46	S3 Shear-zone
