Depth	Azimuth	Dip	Aperture	Type
m	deg	deg	mm	 NaN
3.48	147.37	79.92	0.00	Fracture
3.82	152.02	74.29	0.00	Fracture
4.29	149.52	78.66	0.00	Fracture
6.03	336.03	80.83	0.00	Foliation
6.36	123.29	59.02	0.00	Fracture
7.02	149.96	73.87	8.27	Quartz
8.39	118.59	50.24	42.16	Quartz
9.80	109.99	68.68	0.00	Fracture
10.03	158.21	63.63	0.00	Fracture
10.67	133.55	76.81	33.36	Quartz
11.94	149.85	71.88	0.00	Fracture
13.43	202.03	66.13	0.00	Fracture
13.79	145.83	76.42	0.00	Fracture
14.78	191.65	71.78	0.00	Fracture
15.10	152.25	54.32	287.49	Quartz
15.58	154.45	84.45	0.00	Fracture
15.75	135.09	85.19	0.00	Fracture
16.05	144.59	83.15	0.00	Fracture
16.11	140.29	79.05	0.00	Fracture
16.24	327.33	88.43	0.00	Foliation
16.47	136.47	55.12	40.73	Quartz
16.70	165.55	72.74	0.00	Fracture
18.29	177.51	65.64	0.00	Fracture
18.65	156.35	77.89	0.00	Fracture
18.83	159.96	74.64	0.00	Fracture
18.85	160.93	82.04	0.00	Fracture
20.42	190.44	77.03	3.89	Fracture
20.54	192.73	66.57	0.00	Fracture
22.05	179.53	71.22	0.00	Fracture
22.09	182.94	74.99	0.00	Fracture
22.17	180.49	75.09	157.28	S3 Shear-zone
22.28	186.55	69.40	0.00	Fracture
22.55	162.98	69.21	1.76	Fracture
22.60	59.87	82.15	0.00	Fracture
23.31	76.52	78.18	0.00	Fracture
24.77	164.34	75.66	19.48	Fracture
25.56	59.36	44.49	0.00	Fracture
25.69	55.84	40.23	0.00	Fracture
25.98	177.57	74.41	0.00	Fracture
26.14	185.57	76.50	51.28	S3 Shear-zone
26.17	185.28	75.48	8.43	Fracture
27.35	171.28	69.30	0.00	Fracture
27.39	172.78	72.91	0.00	Fracture
27.43	187.34	69.30	70.91	S3 Shear-zone
29.28	147.69	84.03	0.00	Fracture
30.00	341.02	86.96	0.00	Fracture
30.10	343.86	82.39	887.75	S1 Shear-zone
30.60	324.58	89.08	0.00	Fracture
32.94	166.17	74.61	0.00	Fracture
33.20	156.26	73.24	0.00	Fracture
33.66	187.85	63.75	0.00	Fracture
34.35	155.90	85.04	0.00	Fracture
34.43	190.78	63.71	1162.53	S1 Shear-zone
34.70	152.59	70.11	0.00	Fracture
34.98	162.60	73.57	0.00	Fracture
35.61	154.09	69.41	0.00	Fracture
35.87	185.71	65.27	0.00	Fracture
36.92	168.35	71.66	0.00	Fracture
37.05	170.34	75.14	0.00	Fracture
37.49	196.45	70.56	0.00	Fracture
37.62	173.88	72.45	1176.12	S1 Shear-zone
37.87	137.47	84.27	0.00	Fracture
38.14	162.63	80.95	0.00	Fracture
39.04	146.13	78.43	0.00	Fracture
40.60	346.00	84.83	0.00	Fracture
41.75	150.69	89.19	0.00	Fracture
41.85	154.67	80.82	1831.76	S1 Shear-zone
42.05	156.69	77.63	0.00	Fracture
42.11	160.39	78.76	0.00	Fracture
42.37	154.43	76.49	0.00	Fracture
42.41	153.58	74.42	111.92	S3 Shear-zone
42.44	154.71	84.05	0.00	Fracture
42.75	154.59	82.93	0.00	Fracture
44.15	195.43	21.65	0.00	Fracture
